"Title: Health Insurance Coverage of Females 19-64 | KFF"
"Timeframe: 2014"
"Location","Employer","Non-Group","Medicaid","Medicare","Military","Uninsured","Total",Footnotes
"United States","0.584","0.083","0.150","0.021","0.015","0.147","1.000","1"
"Alabama","0.571","0.081","0.128","0.036","0.019","0.165","1.000"
"Alaska","0.540","0.058","0.115","N/A","0.071","0.211","1.000"
"Arizona","0.529","0.083","0.183","0.023","0.019","0.162","1.000"
"Arkansas","0.528","0.084","0.177","0.039","0.016","0.155","1.000"
"California","0.538","0.094","0.187","0.015","0.010","0.155","1.000"
"Colorado","0.590","0.104","0.143","0.014","0.028","0.121","1.000"
"Connecticut","0.634","0.080","0.181","0.022","0.008","0.077","1.000"
"Delaware","0.648","0.047","0.184","0.026","0.018","0.077","1.000"
"District of Columbia","0.608","0.071","0.255","0.008","0.008","0.050","1.000"
"Florida","0.499","0.115","0.126","0.021","0.021","0.218","1.000"
"Georgia","0.566","0.077","0.105","0.023","0.023","0.206","1.000"
"Hawaii","0.672","0.052","0.138","0.017","0.060","0.061","1.000"
"Idaho","0.556","0.126","0.092","0.022","0.017","0.187","1.000"
"Illinois","0.620","0.080","0.158","0.019","0.006","0.118","1.000"
"Indiana","0.621","0.068","0.121","0.026","0.008","0.156","1.000"
"Iowa","0.666","0.100","0.138","0.015","0.008","0.074","1.000"
"Kansas","0.624","0.099","0.087","0.022","0.026","0.141","1.000"
"Kentucky","0.569","0.064","0.206","0.037","0.017","0.107","1.000"
"Louisiana","0.537","0.079","0.143","0.023","0.016","0.202","1.000"
"Maine","0.576","0.073","0.191","0.018","0.016","0.126","1.000"
"Maryland","0.650","0.072","0.148","0.018","0.019","0.092","1.000"
"Massachusetts","0.661","0.060","0.228","0.011","0.004","0.035","1.000"
"Michigan","0.606","0.079","0.181","0.024","0.006","0.105","1.000"
"Minnesota","0.668","0.086","0.154","0.017","0.007","0.068","1.000"
"Mississippi","0.520","0.074","0.164","0.029","0.019","0.195","1.000"
"Missouri","0.611","0.089","0.106","0.031","0.015","0.149","1.000"
"Montana","0.537","0.134","0.107","0.020","0.016","0.185","1.000"
"Nebraska","0.638","0.111","0.089","0.017","0.020","0.126","1.000"
"Nevada","0.577","0.070","0.126","0.021","0.020","0.185","1.000"
"New Hampshire","0.700","0.080","0.073","0.027","0.011","0.110","1.000"
"New Jersey","0.655","0.063","0.122","0.018","0.004","0.138","1.000"
"New Mexico","0.470","0.066","0.222","0.026","0.025","0.191","1.000"
"New York","0.595","0.062","0.219","0.018","0.005","0.101","1.000"
"North Carolina","0.553","0.101","0.118","0.026","0.029","0.174","1.000"
"North Dakota","0.668","0.110","0.094","0.019","0.016","0.094","1.000"
"Ohio","0.628","0.060","0.180","0.026","0.008","0.098","1.000"
"Oklahoma","0.557","0.084","0.104","0.027","0.022","0.205","1.000"
"Oregon","0.549","0.091","0.209","0.020","0.010","0.122","1.000"
"Pennsylvania","0.643","0.089","0.135","0.021","0.005","0.106","1.000"
"Rhode Island","0.594","0.078","0.218","0.023","0.009","0.079","1.000"
"South Carolina","0.546","0.074","0.135","0.032","0.027","0.186","1.000"
"South Dakota","0.623","0.130","0.096","0.013","0.019","0.119","1.000"
"Tennessee","0.549","0.085","0.164","0.028","0.021","0.153","1.000"
"Texas","0.548","0.078","0.092","0.017","0.018","0.246","1.000"
"Utah","0.650","0.101","0.072","0.012","0.013","0.152","1.000"
"Vermont","0.587","0.077","0.250","0.021","N/A","0.054","1.000"
"Virginia","0.637","0.084","0.070","0.022","0.051","0.136","1.000"
"Washington","0.599","0.088","0.153","0.020","0.029","0.111","1.000"
"West Virginia","0.564","0.039","0.233","0.039","0.011","0.114","1.000"
"Wisconsin","0.658","0.082","0.150","0.017","0.008","0.086","1.000"
"Wyoming","0.630","0.088","0.094","0.010","0.019","0.159","1.000"
"Puerto Rico","0.310","0.098","0.488","0.040","0.005","0.060","1.000"

"Notes"
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   "
""
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type."
""
"Data may not sum to totals due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:"
""
"*Employer*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household."
""
"*Non-Group*: Includes individuals and families that purchased or are covered as a dependent by non-group insurance."
""
"*Medicaid-only*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare."
""
"*Medicare*: Includes all tose covered as nonelderly Medicare enrollees, except those with employer-sponsored insurance and full-time work."
""
"*Military*: Includes those covered under the military or Veterans Administration."
""
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
