"Title: Adults Who Report Fair or Poor Health Status by Sex | KFF"
"Timeframe: 2015"
"Location","All Adults","Male","Female",Footnotes
"United States","0.175","0.167","0.183","1"
"Alabama","0.222","0.197","0.245"
"Alaska","0.136","0.142","0.130"
"Arizona","0.188","0.184","0.192"
"Arkansas","0.238","0.226","0.250"
"California","0.180","0.167","0.193"
"Colorado","0.139","0.133","0.145"
"Connecticut","0.149","0.148","0.151"
"Delaware","0.176","0.163","0.188"
"District of Columbia","0.120","0.087","0.149"
"Florida","0.184","0.176","0.192"
"Georgia","0.181","0.175","0.186"
"Hawaii","0.136","0.138","0.134"
"Idaho","0.146","0.140","0.152"
"Illinois","0.164","0.143","0.183"
"Indiana","0.188","0.191","0.185"
"Iowa","0.130","0.131","0.130"
"Kansas","0.157","0.154","0.160"
"Kentucky","0.222","0.201","0.243"
"Louisiana","0.219","0.206","0.232"
"Maine","0.161","0.163","0.159"
"Maryland","0.139","0.127","0.149"
"Massachusetts","0.146","0.141","0.151"
"Michigan","0.177","0.171","0.181"
"Minnesota","0.124","0.121","0.127"
"Mississippi","0.236","0.219","0.252"
"Missouri","0.178","0.169","0.187"
"Montana","0.151","0.153","0.149"
"Nebraska","0.139","0.137","0.142"
"Nevada","0.176","0.148","0.204"
"New Hampshire","0.121","0.115","0.126"
"New Jersey","0.160","0.148","0.171"
"New Mexico","0.208","0.214","0.202"
"New York","0.168","0.164","0.172"
"North Carolina","0.192","0.173","0.210"
"North Dakota","0.139","0.130","0.148"
"Ohio","0.165","0.165","0.166"
"Oklahoma","0.218","0.215","0.220"
"Oregon","0.186","0.181","0.190"
"Pennsylvania","0.164","0.157","0.171"
"Rhode Island","0.162","0.179","0.146"
"South Carolina","0.180","0.176","0.183"
"South Dakota","0.137","0.123","0.150"
"Tennessee","0.211","0.211","0.211"
"Texas","0.194","0.186","0.201"
"Utah","0.125","0.124","0.125"
"Vermont","0.126","0.130","0.121"
"Virginia","0.152","0.143","0.160"
"Washington","0.149","0.145","0.153"
"West Virginia","0.259","0.252","0.266"
"Wisconsin","0.146","0.143","0.150"
"Wyoming","0.149","0.142","0.156"
"Guam","0.198","0.155","0.243"
"Puerto Rico","0.364","0.321","0.403"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2019 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
