"Title: "
"Timeframe: undefined"
"Location","All Women","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","0.73","0.73","0.79","0.74","0.62","0.69","0.69","1"
"Alabama","0.75","0.73","0.82","0.60","NSD","0.69","0.76"
"Alaska","0.69","0.69","NSD","0.60","0.55","0.81","0.65"
"Arizona","0.70","0.70","0.78","0.70","0.64","0.64","0.65"
"Arkansas","0.71","0.70","0.78","0.65","NSD","NSD","0.65"
"California","0.72","0.72","0.78","0.75","0.60","0.77","0.68"
"Colorado","0.69","0.69","0.78","0.69","0.56","NSD","0.58"
"Connecticut","0.79","0.80","0.78","0.79","0.59","NSD","0.71"
"Delaware","0.77","0.78","0.80","0.73","0.65","NSD","0.68"
"District of Columbia","0.77","0.84","0.76","0.68","0.51","NSD","0.74"
"Florida","0.75","0.74","0.75","0.81","0.68","0.56","0.57"
"Georgia","0.75","0.71","0.81","0.78","0.56","NSD","0.77"
"Hawaii","0.78","0.83","NSD","0.74","0.75","NSD","0.79"
"Idaho","0.60","0.58","NSD","0.72","NSD","NSD","NSD"
"Illinois","0.72","0.71","0.78","0.70","0.58","NSD","NSD"
"Indiana","0.71","0.72","0.72","0.68","NSD","NSD","0.84"
"Iowa","0.73","0.72","0.76","0.79","0.60","NSD","0.76"
"Kansas","0.68","0.69","0.74","0.66","0.62","0.67","0.61"
"Kentucky","0.72","0.71","0.77","0.66","NSD","0.75","0.77"
"Louisiana","0.77","0.74","0.83","0.69","NSD","NSD","0.71"
"Maine","0.74","0.75","NSD","0.66","NSD","0.62","0.65"
"Maryland","0.75","0.75","0.79","0.74","0.68","0.45","0.69"
"Massachusetts","0.75","0.79","0.75","0.75","0.49","NSD","0.74"
"Michigan","0.75","0.74","0.83","0.77","0.65","0.82","0.73"
"Minnesota","0.74","0.77","0.65","0.75","0.57","0.69","0.69"
"Mississippi","0.77","0.71","0.85","NSD","NSD","NSD","NSD"
"Missouri","0.73","0.72","0.85","0.67","NSD","NSD","0.50"
"Montana","0.68","0.68","NSD","0.62","NSD","0.68","0.84"
"Nebraska","0.71","0.71","0.76","0.76","0.43","0.66","0.63"
"Nevada","0.72","0.71","0.87","0.75","0.60","NSD","0.68"
"New Hampshire","0.77","0.78","NSD","0.90","NSD","NSD","0.70"
"New Jersey","0.74","0.79","0.66","0.74","0.68","NSD","NSD"
"New Mexico","0.71","0.68","NSD","0.76","NSD","0.62","NSD"
"New York","0.76","0.78","0.78","0.77","0.59","0.73","0.74"
"North Carolina","0.74","0.73","0.75","0.79","NSD","0.81","0.69"
"North Dakota","0.67","0.69","NSD","NSD","NSD","0.73","0.63"
"Ohio","0.73","0.73","0.79","0.56","0.71","0.72","0.64"
"Oklahoma","0.69","0.67","0.77","0.71","NSD","0.74","0.73"
"Oregon","0.72","0.72","0.64","0.73","0.56","NSD","0.79"
"Pennsylvania","0.69","0.68","0.81","0.71","0.52","NSD","0.77"
"Rhode Island","0.76","0.77","0.63","0.75","0.65","NSD","0.89"
"South Carolina","0.74","0.72","0.80","0.74","NSD","NSD","0.77"
"South Dakota","0.68","0.69","NSD","0.64","NSD","0.81","0.51"
"Tennessee","0.74","0.73","0.82","0.71","NSD","NSD","0.66"
"Texas","0.73","0.71","0.83","0.72","0.75","NSD","0.80"
"Utah","0.64","0.63","NSD","0.70","0.50","0.71","0.62"
"Vermont","0.71","0.73","NSD","NSD","NSD","NSD","0.77"
"Virginia","0.77","0.75","0.83","0.77","0.73","0.79","0.69"
"Washington","0.68","0.69","0.63","0.73","0.61","0.74","0.54"
"West Virginia","0.72","0.71","0.76","NSD","NSD","NSD","0.79"
"Wisconsin","0.71","0.71","0.73","0.86","NSD","NSD","0.67"
"Wyoming","0.67","0.67","NSD","0.66","NSD","NSD","NSD"
"Guam","0.64","0.83","NSD","0.57","0.64","NSD","0.80"
"Puerto Rico","0.77","NSD","NSD","0.77","NSD","NSD","NSD"

"Notes"
"U.S. Preventive Services Task Force recommends pap smears at least every three years in women who have been sexually active and have a cervix."
""
"Data based on the Behavioral Risk Factor Surveillance System (BRFSS), an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. For more information about BRFSS, go to [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Center for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2016-2018 Survey Results. Three-year merged dataset used to ensure adequate sample sizes for statistical analysis."

"Definitions"
"*NSD:* Not sufficient data."


Footnotes
"1. US totals exclude data from the territories."
